import time: self [us] | cumulative | imported package
import time:        22 |      51458 |               sympy.functions.elementary.miscellaneous
import time:       882 |        882 |                 sympy.polys.compatibility
import time:       145 |        145 |                 sympy.polys.heuristicgcd
import time:       302 |        302 |                         sympy.printing.conventions
import time:       160 |        160 |                         sympy.printing.precedence
import time:       253 |        253 |                         sympy.printing.printer
import time:       603 |        603 |                         sympy.printing.str
import time:        52 |         52 |                             unicodedata
import time:       125 |        125 |                             sympy.core.alphabets
import time:       709 |        884 |                           sympy.printing.pretty.pretty_symbology
import time:       247 |       1131 |                         sympy.printing.pretty.stringpict
import time:       910 |       3356 |                       sympy.printing.pretty.pretty
import time:       221 |       3577 |                     sympy.printing.pretty
import time:      1818 |       1818 |                     sympy.printing.latex
import time:     10491 |      10491 |                     sympy.printing.mathml
import time:       285 |        285 |                       sympy.printing.repr
import time:       209 |        494 |                     sympy.printing.python
import time:       332 |        332 |                       sympy.printing.codeprinter
import time:       589 |        921 |                     sympy.printing.pycode
import time:       266 |        266 |                     sympy.printing.glsl
import time:       329 |        329 |                     sympy.printing.rcode
import time:       218 |        218 |                     sympy.printing.jscode
import time:       274 |        274 |                     sympy.printing.julia
import time:       395 |        395 |                     sympy.printing.mathematica
import time:       293 |        293 |                     sympy.printing.octave
import time:       247 |        247 |                     sympy.printing.rust
import time:       116 |        116 |                         sympy.utilities.pkgdata
import time:       163 |        278 |                       sympy.utilities.mathml
import time:       123 |        401 |                     sympy.printing.gtk
import time:       244 |        244 |                     sympy.printing.preview
import time:       127 |        127 |                     sympy.printing.tree
import time:       169 |        169 |                     sympy.printing.tableform
import time:       150 |        150 |                     sympy.printing.dot
import time:       269 |        269 |                     sympy.printing.maple
import time:       378 |      21052 |                   sympy.printing
import time:       143 |      21195 |                 sympy.printing.defaults
import time:       112 |        112 |                 sympy.utilities.magic
import time:       619 |      22950 |               sympy.polys.rings
import time:       223 |      74631 |             sympy.polys.specialpolys
import time:       223 |      74854 |           sympy.polys.polyfuncs
import time:       407 |        407 |               sympy.polys.ring_series
import time:       370 |        370 |                   sympy.polys.polyquinticconst
import time:       373 |        373 |                           sympy.simplify.gammasimp
import time:       165 |        537 |                         sympy.simplify.combsimp
import time:       137 |        137 |                         sympy.simplify.cse_opts
import time:       233 |        233 |                           sympy.simplify.powsimp
import time:      1066 |       1298 |                         sympy.simplify.hyperexpand
import time:       310 |        310 |                           sympy.simplify.sqrtdenest
import time:       294 |        604 |                         sympy.simplify.radsimp
import time:       254 |        254 |                           sympy.simplify.cse_main
import time:       117 |        117 |                                 sympy.strategies.util
import time:       198 |        314 |                               sympy.strategies.rl
import time:       132 |        132 |                                 sympy.strategies.core
import time:       140 |        272 |                               sympy.strategies.traverse
import time:       126 |        126 |                               sympy.strategies.tools
import time:       130 |        130 |                                   sympy.strategies.branch.core
import time:       178 |        307 |                                 sympy.strategies.branch.traverse
import time:       112 |        112 |                                 sympy.strategies.branch.tools
import time:       249 |        668 |                               sympy.strategies.branch
import time:       211 |       1590 |                             sympy.strategies
import time:        21 |       1610 |                           sympy.strategies.core
import time:       131 |        131 |                           sympy.strategies.tree
import time:       341 |       2333 |                         sympy.simplify.trigsimp
import time:       629 |       5536 |                       sympy.simplify.simplify
import time:       347 |        347 |                       sympy.simplify.fu
import time:       164 |        164 |                       sympy.simplify.epathtools
import time:       164 |        164 |                       sympy.simplify.ratsimp
import time:       233 |       6442 |                     sympy.simplify
import time:        25 |       6467 |                   sympy.simplify.simplify
import time:       315 |       7151 |                 sympy.polys.polyroots
import time:      2661 |       9811 |               sympy.polys.rootoftools
import time:       389 |      10607 |             sympy.polys.numberfields.minpoly
import time:       200 |        200 |             sympy.polys.numberfields.subfield
import time:       215 |        215 |                     sympy.polys.matrices.exceptions
import time:       151 |        151 |                       sympy.polys.matrices.dense
import time:       307 |        307 |                       sympy.polys.matrices.sdm
import time:       389 |        846 |                     sympy.polys.matrices.ddm
import time:       160 |        160 |                     sympy.polys.matrices.domainscalar
import time:       439 |       1659 |                   sympy.polys.matrices.domainmatrix
import time:       137 |       1795 |                 sympy.polys.matrices
import time:        23 |       1818 |               sympy.polys.matrices.exceptions
import time:      1104 |       1104 |                 sympy.printing.numpy
import time:       276 |       1380 |               sympy.printing.lambdarepr
import time:       202 |       3399 |             sympy.polys.numberfields.utilities
import time:       142 |        142 |                   sympy.ntheory.modular
import time:       166 |        308 |                 sympy.polys.matrices.normalforms
import time:       157 |        157 |                 sympy.polys.numberfields.exceptions
import time:       473 |        937 |               sympy.polys.numberfields.modules
import time:       175 |       1112 |             sympy.polys.numberfields.basis
import time:       318 |        318 |             sympy.polys.numberfields.primes
import time:       186 |      15818 |           sympy.polys.numberfields
import time:       909 |        909 |                     sympy.tensor.indexed
import time:       183 |        183 |                     sympy.tensor.index_methods
import time:       301 |        301 |                     sympy.tensor.functions
import time:       473 |        473 |                           sympy.tensor.array.ndim_array
import time:       139 |        611 |                         sympy.tensor.array.mutable_ndim_array
import time:       399 |       1009 |                       sympy.tensor.array.dense_ndim_array
import time:       340 |        340 |                       sympy.tensor.array.sparse_ndim_array
import time:       207 |        207 |                       sympy.tensor.array.arrayop
import time:       455 |        455 |                       sympy.tensor.array.array_comprehension
import time:       191 |       2199 |                     sympy.tensor.array
import time:       279 |       3871 |                   sympy.tensor
import time:        24 |       3894 |                 sympy.tensor.array
import time:       160 |        160 |                 sympy.matrices.utilities
import time:      1020 |       5073 |               sympy.matrices.common
import time:       202 |        202 |                   sympy.matrices.determinant
import time:       220 |        422 |                 sympy.matrices.decompositions
import time:       154 |        154 |                   sympy.matrices.reductions
import time:       131 |        131 |                   sympy.matrices.subspaces
import time:       209 |        209 |                               sympy.polys.agca.ideals
import time:       583 |        791 |                             sympy.polys.agca.modules
import time:       373 |       1164 |                           sympy.polys.agca.homomorphisms
import time:       136 |       1300 |                         sympy.polys.agca
